"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"2310",32,11,0,5,36,4.3,0.95,-0.05,0.6,-0.51,0,4,0,-1,-1,2,0,0,0,0,0,0,0,0,0,3,1,0,1,16,1,0,0,0,0,0,0,0,0,0,9,4,0,0,0,2,1,4,0,14,0,14,13,3,57.06,0,59,0,12.85,2.55,782.45,0,0,2.48,0,6.69,0,0,0,1,15.25,2.72,905,6.81,0,0,2.94,0,7.15,0,0,0,0,0,1,0,0,1,21,1,1,1,0,1,0,0,0,0,0,0,0,"2","1","June","3","0","2","2","0","13.8","1","3","3","3","1","1","medium_spend_cust"
"2313",30,13,0,7,30,6.8,0.22,-1.53,1.82,0.6,0,4,0,-1,-1,1,2,0,2,0,0,0,0,0,0,1,0,0,4,24,0,0,0,1,1,0,0,0,0,0,9,4,0,0,1,4,1,2,1,4,1,3,7,0,0,0,8,1,9.95,2.3,114.85,0,0,2.48,0,5.37,0,0,0,0,0,2.14,0,4.79,0,0,2.68,0,5.38,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,1,1,0,0,0,0,0,"3","0","February","6","0","2","2","0","21","0","3","4","1","1","0","low_spend_cust"
"2315",67,9,0,13,45,19.7,2.73,1,6.13,1.81,0,4,1,11,1,4,11,0,0,0,0,0,0,11,1,3,1,0,1,15,1,0,0,0,0,0,0,0,0,0,9,4,0,0,0,4,3,3,0,20,0,12,11,0,0,0,34,0,9.8,2.28,304.15,1,30.5,3.42,1000.05,6.91,1,38.6,1169.6,1,13.25,2.58,445,6.1,1,38.5,3.65,1309.85,7.18,1,1,1,1,1,1,1,0,1,30,1,1,1,1,1,1,0,1,0,0,0,0,"1","1","February","2","0","3","5","1","20.5","1","2","3","1","2","2","medium_spend_cust"
"2323",60,20,0,21,86,5.8,2.76,1.01,2.23,0.8,0,2,1,13,2,2,11,4,0,0,0,0,0,7,0,2,1,1,1,36,1,0,1,0,0,0,0,0,0,0,9,4,0,0,1,4,1,3,0,31,0,24,11,8,436.96,0,65,0,25.5,3.24,1609.35,0,0,2.72,0,6.87,1,42.5,2721.35,1,14.75,2.69,900,6.8,0,0,2.82,0,7.04,1,1,0,0,1,0,0,1,1,17,1,1,1,1,1,1,1,0,1,0,1,0,"2","0","December","6","1","2","5","1","55.5","0","1","3","3","2","3","medium_spend_cust"
"2326",51,16,0,4,37,12,2.85,1.05,1.59,0.46,0,5,1,12,2,5,0,0,0,0,0,0,0,0,1,2,1,0,4,18,1,1,0,1,1,0,0,1,0,0,9,4,1,1,0,2,2,1,0,6,0,10,10,7,151.42,0,27,0,6.3,1.84,174.85,0,0,2.35,0,5.85,0,0,0,0,0,2.2,0,5.81,0,0,2.68,0,6.34,0,0,0,1,0,0,1,0,1,17,1,1,1,1,0,1,0,0,0,0,0,0,"1","1","May","1","0","3","4","0","17.6","0","1","4","1","3","0","medium_spend_cust"
"2327",47,14,0,11,60,9.2,2.37,0.86,3.15,1.15,0,1,0,-1,-1,3,1,1,0,0,0,0,0,0,1,1,1,0,10,14,0,0,1,0,0,0,0,0,0,1,9,4,0,0,1,1,3,3,1,5,0,4,11,5,290.82,0,10,0,3,1.1,27.95,1,17.75,2.88,158.3,5.06,0,0,0,1,18.75,2.93,145,4.98,0,0,2.64,0,4.97,0,1,0,1,1,1,1,0,1,21,1,1,1,1,1,1,0,0,0,0,0,0,"1","0","May","1","0","3","3","0","29.6","0","4","1","1","1","0","medium_spend_cust"
"2339",21,14,0,1,25,5.9,0.46,-0.79,1.02,0.02,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,2,1,0,1,24,1,1,0,0,0,0,0,0,0,0,9,4,0,0,1,1,1,4,0,3,0,3,7,4,218.53,0,19,0,6.1,1.81,134.45,0,0,2.17,0,4.76,0,0,0,0,0,1.7,0,3.81,0,0,2.54,0,4.93,0,0,0,0,0,0,0,0,1,20,1,1,1,0,1,0,1,0,0,0,0,1,"1","1","April","6","0","1","1","1","16","1","5","4","1","3","0","medium_spend_cust"
"2350",46,10,1,17,62,5.6,1.48,0.39,1.99,0.69,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,1,3,21,1,0,1,0,0,0,0,0,0,0,1,6,1,0,0,1,4,3,0,6,0,5,9,7,383.92,1,22,0,6.35,1.85,147.1,0,0,2.35,0,5.51,0,0,0,0,0,1.98,0,4.91,0,0,2.72,0,5.81,0,0,0,0,0,0,0,0,1,19,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","September","6","0","2","4","1","42.1","0","4","3","1","3","0","medium_spend_cust"
"2353",40,18,0,4,68,16.1,2.01,0.7,8.93,2.19,0,4,0,-1,-1,1,2,1,0,1,0,0,0,0,0,2,1,0,6,21,0,0,1,0,1,1,0,1,0,0,9,2,0,0,1,3,2,3,0,22,0,16,12,3,127.89,1,53,0,13.3,2.59,723.55,0,0,2.51,0,6.53,0,0,0,1,20.75,3.03,1035,6.94,0,0,2.82,0,6.84,1,0,0,0,0,1,0,0,1,23,1,1,1,0,0,1,0,0,0,0,0,0,"2","0","June","2","0","1","3","0","38.8","1","2","2","3","1","0","medium_spend_cust"
"2365",50,10,0,6,70,3.5,0.76,-0.27,1.69,0.52,0,3,0,-1,-1,1,7,3,0,0,0,0,0,4,0,1,1,1,8,27,1,0,0,0,1,0,0,1,0,0,9,4,0,0,1,3,3,4,0,13,0,10,7,5,242.89,0,23,0,7.95,2.07,159.15,1,15.25,2.72,348.6,5.85,0,0,0,0,0,1.66,0,4.91,0,0,2.68,0,5.88,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0,"4","1","January","2","0","3","4","0","35","1","2","3","2","2","0","medium_spend_cust"
"2368",66,15,0,25,11,21.4,2.2,0.79,0.15,-1.89,0,5,1,17,4,2,7,0,2,0,0,0,0,5,0,1,1,0,5,23,0,0,0,0,1,0,0,0,1,0,9,4,0,0,0,3,1,2,0,31,0,25,13,3,65,1,57,0,20.15,3,1074.7,0,0,2.35,0,6.44,0,0,0,1,29.25,3.38,1725,7.45,0,0,2.82,0,6.87,1,0,0,0,0,0,0,0,1,19,1,1,1,0,1,0,1,0,1,0,0,0,"2","0","January","6","1","2","4","1","6.5","0","2","1","3","2","0","low_spend_cust"
"2371",69,15,0,27,18,9.4,0.98,-0.02,0.71,-0.34,0,4,1,15,3,3,2,0,2,0,0,0,0,0,0,1,0,1,8,17,0,1,0,0,0,0,0,1,0,0,9,7,0,0,1,1,4,2,0,40,0,30,17,2,46.27,0,72,0,30.55,3.42,2228.2,1,33.5,3.51,2422.7,7.79,1,43.9,3101.75,1,25.75,3.25,1775,7.48,0,0,3.01,0,7.27,1,1,0,0,0,1,1,0,1,15,1,1,1,1,1,1,1,0,1,0,0,1,"1","0","May","4","1","3","4","0","6.2","0","4","2","3","2","4","medium_spend_cust"
"2388",69,13,0,11,62,7.3,1.74,0.56,2.78,1.02,0,5,0,-1,-1,1,3,1,0,2,0,0,0,0,0,3,1,0,1,28,1,0,0,0,1,1,0,1,0,0,9,4,0,0,1,4,2,2,0,24,0,22,10,4,57.26,0,53,1,8.45,2.13,409.5,1,46,3.83,2395.75,7.78,0,0,0,1,27.5,3.31,1430,7.27,0,0,2.75,0,6.75,0,0,0,1,1,1,1,0,1,24,1,1,1,0,0,0,0,0,0,0,0,0,"3","1","March","1","0","2","5","1","30","1","3","1","4","2","0","low_spend_cust"
"2392",57,13,0,6,45,9.3,1.2,0.18,2.98,1.09,0,1,0,-1,-1,1,4,0,0,0,0,0,0,4,0,4,1,1,1,46,1,0,1,1,1,0,1,1,1,0,9,2,1,0,1,3,1,3,0,12,0,11,8,7,102.13,0,26,0,9.95,2.3,248.4,0,0,2.69,0,6.06,0,0,0,0,0,1.95,0,5.16,0,0,2.54,0,5.92,0,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,0,0,0,0,0,1,"5","0","December","2","0","2","3","0","23.4","1","2","3","2","3","0","low_spend_cust"
"2393",37,11,0,4,31,5.7,0.76,-0.28,1.01,0.01,0,2,1,9,1,3,6,0,0,0,0,0,0,6,1,2,1,0,1,31,1,0,0,0,0,0,1,0,0,0,9,5,0,0,0,1,3,1,0,19,0,19,13,5,155.83,0,64,0,28.65,3.36,1808.8,1,24.5,3.2,1557.6,7.35,0,0,0,1,8.5,2.14,500,6.21,0,0,2.83,0,6.86,1,0,0,0,1,0,0,0,1,17,1,1,1,0,1,1,1,0,1,0,0,0,"3","1","July","2","0","3","3","0","17","0","4","3","2","1","4","medium_spend_cust"
"2395",39,18,0,3,85,14.2,1.71,0.54,10.36,2.34,0,1,0,-1,-1,1,0,0,0,0,0,0,0,0,1,2,1,1,1,24,1,0,0,0,1,0,0,0,0,0,9,4,0,0,1,4,2,1,0,14,0,11,15,1,23.91,1,31,0,8.05,2.09,251.45,0,0,2.58,0,5.92,1,40.55,1206.1,1,26.75,3.29,790,6.67,1,32.9,3.49,937.2,6.84,1,1,0,1,0,1,1,1,1,21,1,1,1,0,1,1,1,1,0,0,0,1,"1","0","October","1","0","1","3","0","34.3","0","2","1","4","2","3","medium_spend_cust"
"2406",78,19,1,30,17,16.9,0.89,-0.12,1.99,0.69,0,5,1,19,4,2,7,0,0,0,0,0,0,7,0,3,1,0,1,15,1,0,1,1,0,0,1,0,0,0,9,4,0,0,1,3,1,4,0,28,0,16,14,4,92.66,1,50,1,26.1,3.26,1283.85,1,39.5,3.68,1898.25,7.55,1,51.1,2521.05,1,37,3.61,1910,7.55,1,39.35,3.67,1928.1,7.56,1,1,0,1,1,1,1,1,1,15,1,1,1,1,1,1,1,0,0,0,1,0,"2","1","June","5","1","1","3","0","9.6","1","2","2","3","2","4","medium_spend_cust"
"2408",51,15,0,11,85,8.2,2.81,1.03,4.16,1.43,0,2,1,12,2,2,1,1,0,0,0,0,0,0,0,4,1,0,1,32,1,0,0,0,1,0,0,0,0,0,9,2,0,0,0,3,4,2,0,33,0,24,6,6,592.97,0,67,0,13.2,2.58,898.95,0,0,2.72,0,7,1,41.65,2768.8,1,27.25,3.31,1850,7.52,0,0,2.92,0,7.15,1,0,0,0,1,1,0,1,1,16,1,1,1,0,1,1,1,0,1,0,0,1,"2","0","July","1","0","1","4","0","26.4","1","1","2","4","3","1","medium_spend_cust"
"2423",78,11,0,10,33,13.2,0.85,-0.17,3.51,1.26,0,2,1,16,3,2,1,1,0,0,0,0,0,0,1,2,1,1,1,28,1,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,4,3,1,22,0,16,15,7,241.13,0,58,0,25.2,3.23,1498.85,1,60.25,4.1,3623.25,8.2,0,0,0,1,29.25,3.38,1590,7.37,0,0,2.88,0,6.94,0,0,0,1,1,1,1,0,1,24,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","September","1","0","1","3","1","15.8","0","4","2","2","2","0","medium_spend_cust"
"2424",46,18,0,0,61,6.4,1.35,0.3,2.56,0.94,0,2,1,17,4,5,0,0,0,0,0,0,0,0,0,0,-1,1,8,26,0,0,0,0,0,0,0,1,0,0,3,5,1,0,1,3,4,2,0,9,0,7,13,3,86.21,1,26,0,13.25,2.58,270.9,0,0,2.44,0,6.03,0,0,0,0,0,1.61,0,5.32,0,0,2.68,0,6.34,1,0,0,1,1,0,0,1,1,22,1,1,1,0,1,0,0,0,1,0,1,0,"5","1","May","2","0","2","4","-1","-1","-1","1","1","4","3","0","medium_spend_cust"
"2427",48,11,0,3,25,9,0.92,-0.09,1.33,0.29,0,1,0,-1,-1,1,2,0,2,0,0,0,0,0,0,5,0,1,1,24,1,0,0,0,0,1,0,1,0,0,9,2,1,0,0,4,4,1,0,17,0,13,12,4,81.91,0,38,0,15.15,2.72,547.95,1,25,3.22,869.85,6.77,0,0,0,1,12.75,2.55,440,6.09,0,0,2.64,0,6.38,0,0,0,1,1,1,1,0,1,25,0,1,1,0,0,0,0,0,0,0,0,0,"4","0","September","2","0","2","4","1","12","0","3","1","1","2","0","low_spend_cust"
"2429",23,7,1,5,16,4.7,0.13,-2.06,0.62,-0.47,0,3,1,10,1,3,0,0,0,0,0,0,0,0,1,4,1,1,1,17,1,0,0,0,1,0,0,0,0,0,9,2,1,1,0,3,4,4,0,5,0,5,9,2,27.12,0,19,0,6.6,1.89,127.45,0,0,2.33,0,4.34,0,0,0,0,0,1.95,0,3.56,0,0,2.72,0,4.51,0,0,0,0,0,0,0,0,1,17,0,1,1,0,1,0,0,0,0,0,1,0,"3","1","May","5","0","1","2","0","10.3","0","5","2","1","3","0","low_spend_cust"
"2448",19,13,0,0,22,11.1,0.93,-0.07,1.51,0.41,1,1,0,-1,-1,1,3,1,0,2,0,0,0,0,0,2,1,1,4,31,0,0,0,1,1,0,0,0,1,0,9,4,0,0,0,3,3,4,0,2,0,1,10,4,52.87,1,17,0,3.3,1.19,60.85,1,30,3.4,548.8,6.31,0,0,0,1,8.5,2.14,155,5.04,0,0,2.82,0,5.65,0,0,0,1,1,1,1,0,1,19,1,1,1,0,0,0,0,0,0,0,0,0,"5","0","October","4","0","2","1","0","7.3","0","2","4","3","1","0","low_spend_cust"
"2455",18,13,0,0,14,7.2,0.18,-1.72,0.83,-0.19,1,2,0,-1,-1,1,8,2,0,0,0,0,0,6,1,2,0,0,1,28,1,0,0,1,0,0,0,0,0,0,9,4,0,0,1,1,1,1,0,1,1,1,11,9,186.29,1,3,1,3.75,1.32,6,0,0,2.17,0,2.82,0,0,0,1,13.75,2.62,20,3,0,0,2.72,0,3.24,0,0,0,0,1,0,0,1,1,23,0,0,1,0,1,0,0,0,0,0,0,0,"4","0","July","5","0","1","1","0","8.2","0","4","3","2","3","2","medium_spend_cust"
"2458",57,20,0,17,97,9,5.37,1.68,3.36,1.21,0,1,1,19,4,2,0,0,0,0,0,0,0,0,0,4,1,0,1,16,1,0,0,0,0,0,0,0,0,0,2,5,0,0,1,1,1,4,0,24,0,17,10,7,279.17,0,41,1,14.15,2.65,628.5,0,0,2.08,0,5.75,1,25.85,1037.75,1,25,3.22,955,6.86,0,0,2.69,0,6.34,1,0,0,0,0,0,0,1,1,22,1,1,1,0,1,1,1,0,0,0,1,0,"1","0","November","1","0","2","4","1","45.3","0","4","1","2","1","1","medium_spend_cust"
"2463",55,13,0,10,48,10.1,0.78,-0.25,4.07,1.4,1,3,0,-1,-1,1,1,1,0,0,0,0,0,0,1,3,1,0,1,31,1,0,0,0,0,0,0,0,0,0,9,5,0,0,1,3,3,1,0,31,0,23,13,7,293.04,0,63,0,26.5,3.28,1501.5,0,0,2.46,0,6.61,0,0,0,1,20,3,1280,7.15,0,0,2.92,0,7.11,1,0,0,1,0,0,1,0,1,21,1,1,1,0,1,0,0,0,1,0,0,0,"5","0","June","1","0","1","4","1","21.2","1","2","3","3","3","1","medium_spend_cust"
"2469",58,13,1,16,99,18.8,4.45,1.49,14.16,2.65,0,4,0,-1,-1,1,7,1,0,0,0,0,0,6,1,4,1,0,1,20,1,0,1,0,0,1,0,1,0,1,9,4,1,0,0,3,4,1,0,40,0,30,10,2,45.44,0,72,0,49.05,3.89,3452.55,0,0,2.48,0,6.82,0,0,0,1,22.75,3.12,1620,7.39,0,0,2.83,0,7.23,1,0,0,0,0,0,0,0,1,19,1,1,1,0,1,1,1,0,1,0,0,0,"1","1","February","5","0","1","5","1","36","1","2","4","2","3","1","medium_spend_cust"
"2474",65,13,0,12,37,15.9,2.03,0.71,3.85,1.35,0,4,0,-1,-1,1,1,0,1,0,0,0,0,0,1,3,1,1,1,17,1,0,0,1,0,0,0,0,0,0,9,3,1,0,1,5,2,1,1,19,0,13,7,0,0,0,44,0,7.5,2.01,322,1,24.5,3.2,963.8,6.87,0,0,0,1,11,2.4,445,6.1,0,0,2.83,0,6.57,1,1,0,1,1,1,1,1,1,33,1,1,1,0,1,1,1,1,1,0,0,0,"1","0","September","2","0","1","5","0","22.9","0","2","2","3","2","1","low_spend_cust"
"2479",45,12,1,10,39,15,3.09,1.13,2.76,1.02,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,1,0,1,36,1,0,0,1,0,0,0,0,0,0,2,6,1,0,0,2,2,2,0,13,0,6,12,3,47.51,1,16,1,5.15,1.64,73.9,0,0,2.3,0,5.04,0,0,0,1,12.25,2.51,165,5.11,0,0,2.64,0,5.26,0,0,0,0,0,0,0,0,1,17,1,1,1,0,1,0,0,0,0,0,0,0,"3","0","December","1","0","4","3","0","18.1","1","4","1","2","2","0","medium_spend_cust"
"2480",39,12,0,5,42,18,1.72,0.54,5.84,1.76,1,1,1,10,1,7,1,0,1,0,0,0,0,0,1,4,1,1,1,28,1,0,1,0,0,0,0,0,0,1,9,6,1,0,1,1,2,3,0,12,0,13,14,6,418.83,1,45,0,11.2,2.42,522.4,0,0,2.33,0,6.34,0,0,0,0,0,2.2,0,6.14,0,0,2.64,0,6.66,0,0,0,0,0,0,1,0,1,22,1,1,1,0,1,0,1,0,1,0,0,0,"2","0","May","1","0","3","2","0","21.5","0","3","2","1","1","1","medium_spend_cust"
"2485",38,11,0,11,56,6.9,0.78,-0.25,3.09,1.13,0,2,0,-1,-1,1,5,0,0,0,0,5,0,0,1,5,1,0,1,29,1,0,0,0,0,0,0,0,0,0,9,4,0,0,0,4,3,1,0,20,0,20,17,4,86.45,1,64,0,21.95,3.09,1385.9,0,0,2.67,0,6.79,1,26.55,1623.8,1,17.5,2.86,1040,6.95,0,0,2.83,0,6.98,1,0,0,0,0,0,0,0,1,22,1,1,1,0,1,0,0,0,1,0,0,0,"2","1","July","3","0","1","3","0","19.2","1","3","4","1","1","0","medium_spend_cust"
"2488",19,14,0,0,16,8.3,0.24,-1.42,1.09,0.08,1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,3,24,0,0,1,0,0,0,0,0,0,0,9,2,0,0,1,3,3,4,1,1,1,1,10,4,97.65,1,20,0,10.25,2.33,204.1,1,19,2.94,374.5,5.93,0,0,0,0,0,1.7,0,4.74,0,0,2.64,0,5.65,0,0,0,0,1,0,1,0,1,16,1,1,1,0,1,0,0,0,0,0,0,0,"1","1","February","4","0","2","1","1","6.6","0","2","2","2","1","0","medium_spend_cust"
"2489",79,18,0,6,14,20.4,1.68,0.52,1.18,0.17,0,2,1,18,4,2,0,0,0,0,0,0,0,0,0,2,1,1,1,25,1,0,1,1,0,0,0,0,0,1,9,4,0,0,1,4,3,4,0,31,0,23,14,5,145.85,0,60,0,27.1,3.3,1607.8,0,0,2.82,0,7.11,0,0,0,1,16.5,2.8,1015,6.92,0,0,2.92,0,7.23,1,0,0,0,0,0,0,0,1,22,1,1,1,0,1,0,1,0,1,0,0,0,"1","1","March","2","1","2","5","1","8.8","0","1","2","2","2","2","medium_spend_cust"
"2498",64,17,0,4,53,10.5,3.16,1.15,2.41,0.88,0,2,1,10,1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,23,1,0,0,0,0,0,0,0,0,0,9,3,0,1,0,4,4,3,1,22,0,14,5,8,171.34,0,50,0,11.15,2.41,556.45,1,18.5,2.92,893.4,6.8,0,0,0,1,14.5,2.67,635,6.45,0,0,2.88,0,6.76,1,1,0,1,0,1,1,0,1,20,1,1,1,0,0,1,0,0,1,0,0,0,"1","0","December","2","0","2","5","0","22.4","0","1","1","1","3","0","low_spend_cust"
"2509",76,18,1,1,15,17.8,0.24,-1.44,2.43,0.89,0,1,1,15,3,2,2,0,2,0,0,0,0,0,1,3,1,0,1,23,1,0,0,0,0,0,0,1,0,1,9,3,0,0,1,4,2,3,0,22,1,15,5,6,129.5,1,46,1,7.75,2.05,361.7,1,18.75,2.93,899.45,6.8,0,0,0,0,0,2.46,0,6.29,1,32.2,3.47,1450.95,7.28,1,0,1,1,1,1,1,1,1,23,1,0,1,1,1,0,1,1,1,0,0,0,"4","1","July","2","1","4","5","1","5.8","1","1","2","4","2","1","low_spend_cust"
"2516",28,18,0,2,29,9.7,0.56,-0.58,2.25,0.81,1,1,1,14,2,2,9,2,0,0,0,0,0,7,1,4,1,0,1,22,1,0,0,0,1,0,0,1,0,0,9,4,1,0,0,2,4,4,0,11,0,7,6,2,42.3,1,21,0,5.1,1.63,112.8,0,0,2.25,0,4.34,0,0,0,0,0,2.46,0,4.38,0,0,2.54,0,4.61,0,0,0,0,0,0,0,0,1,24,1,1,1,0,0,0,0,0,1,1,0,0,"1","0","September","6","0","1","2","1","13.6","0","1","2","2","1","0","low_spend_cust"
"2518",42,16,0,7,23,4.9,0.11,-2.21,1.02,0.02,0,3,1,15,3,2,1,1,0,0,0,0,0,0,1,1,0,0,4,43,0,0,0,1,1,0,0,0,0,0,9,2,1,0,1,2,1,3,0,20,0,16,7,3,46.03,1,41,0,8.8,2.17,375.45,1,14.5,2.67,644.4,6.47,1,32.9,1342,1,10.25,2.33,410,6.02,1,33.95,3.52,1303.8,7.17,1,1,1,1,1,1,1,1,1,23,1,1,1,0,1,1,1,1,0,0,0,0,"5","1","December","1","0","3","3","0","10","0","3","2","4","3","4","low_spend_cust"
"2535",65,19,1,25,44,4.3,0.55,-0.6,1.34,0.3,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,1,0,1,27,1,0,0,0,0,0,0,0,0,0,9,2,1,1,1,1,1,2,0,10,1,9,10,5,208.89,0,43,1,5.4,1.69,215.6,0,0,2.35,0,5.83,1,31.7,1356,0,0,2.11,0,5.56,0,0,2.82,0,6.44,1,0,0,0,0,0,0,1,1,18,1,1,1,0,1,1,1,0,0,0,0,0,"1","1","July","6","1","1","5","0","19.6","0","4","4","4","3","2","medium_spend_cust"
"2537",24,17,0,0,12,3.7,0.06,-2.82,0.38,-0.96,0,1,0,-1,-1,3,0,0,0,0,0,0,0,0,1,2,1,1,1,29,1,0,0,1,0,0,0,0,1,0,9,1,1,0,1,1,2,1,0,1,0,1,12,8,402.51,1,1,1,2,0.69,2,1,12.5,2.53,12.5,2.53,1,23.5,23.5,0,0,1.87,0,2.25,0,0,2.82,0,3.01,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,"4","1","July","1","0","1","2","1","6.1","0","4","4","2","1","2","medium_spend_cust"
"2545",27,19,0,0,144,4.9,2.43,0.89,4.63,1.53,0,1,1,14,2,4,2,2,0,0,0,0,0,0,1,1,1,0,3,27,0,0,1,0,0,0,0,0,0,0,4,6,0,0,0,4,1,1,0,9,0,9,10,6,251.92,0,26,0,8.7,2.16,228.85,0,0,2.44,0,5.73,1,32.3,727.1,1,7.75,2.05,215,5.37,0,0,2.54,0,5.77,1,1,1,0,0,0,0,1,1,28,1,1,1,0,1,1,1,0,1,0,0,0,"1","1","November","1","0","1","2","1","74","0","2","1","3","3","2","medium_spend_cust"
"2552",67,14,0,30,11,7.7,0.52,-0.66,0.33,-1.12,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,1,1,3,18,0,0,1,1,0,0,1,0,0,1,9,4,0,0,0,3,3,4,1,30,1,21,9,4,83.86,0,61,0,16.45,2.8,1032.75,0,0,2.53,0,6.83,0,0,0,1,17.5,2.86,1105,7.01,0,0,2.82,0,7.11,1,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","March","3","1","2","5","0","6.5","0","1","1","3","2","0","low_spend_cust"
"2557",36,19,0,1,142,2.7,1.29,0.25,2.55,0.93,1,1,1,18,4,2,0,0,0,0,0,0,0,0,1,2,1,0,3,26,0,0,1,0,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,18,0,18,12,4,154.57,0,58,0,51.05,3.93,3031.45,1,35.75,3.58,2090.7,7.65,1,59.65,3374,1,19,2.94,1015,6.92,1,52.85,3.97,2982.05,8,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,0,1,0,0,0,"1","1","April","2","0","1","3","1","69.4","0","3","1","2","2","3","medium_spend_cust"
"2560",18,13,0,0,14,9,0.2,-1.6,1.06,0.06,0,2,0,-1,-1,3,2,2,0,0,0,0,0,0,1,5,1,0,1,30,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,1,2,0,0,0,0,8,4,88.35,0,8,1,4.75,1.56,27.95,0,0,2.17,0,4.25,1,31.15,196.1,0,0,2.05,0,3.22,0,0,2.64,0,4.6,0,1,0,0,0,0,0,1,1,23,1,0,1,0,1,1,1,0,0,0,0,0,"2","0","October","1","0","1","1","1","7.6","1","1","4","4","1","1","medium_spend_cust"
"2564",25,19,0,0,15,1.5,0.07,-2.73,0.16,-1.83,1,2,1,17,4,4,0,0,0,0,0,0,0,0,1,4,0,0,1,31,1,0,1,1,1,0,1,0,0,0,1,4,0,0,0,2,2,4,0,5,1,2,3,3,56.85,0,8,1,4.1,1.41,35.15,0,0,2.3,0,5.05,1,24.1,189.95,0,0,1.32,0,3.81,0,0,2.82,0,5.27,0,0,0,0,0,0,0,0,1,20,1,0,1,0,1,1,1,0,0,0,0,0,"4","0","September","1","0","1","2","0","6.2","0","3","1","2","3","1","low_spend_cust"
"2572",69,13,0,31,28,10.2,2.25,0.81,0.61,-0.5,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,0,7,27,0,0,0,0,0,0,1,0,0,0,9,4,0,0,1,2,1,3,0,38,0,29,8,6,102.75,0,71,0,18.75,2.93,1255.45,0,0,2.55,0,6.84,1,32.65,2380.4,1,17.75,2.88,1180,7.07,0,0,3.07,0,7.38,1,0,0,0,0,0,0,0,1,20,1,1,1,0,1,0,0,0,0,0,0,0,"4","0","November","6","1","1","5","1","19.6","0","5","4","1","2","2","low_spend_cust"
"2577",29,21,0,0,86,16.4,4.09,1.41,10.01,2.3,0,2,1,16,3,3,0,0,0,0,0,0,0,0,1,2,1,0,1,35,1,0,1,0,0,0,0,0,0,1,9,2,0,0,1,4,1,1,0,11,0,11,10,7,240.44,0,47,0,11.05,2.4,525,1,27.25,3.31,1287.8,7.16,0,0,0,1,6.5,1.87,305,5.72,1,31.9,3.46,1489.7,7.31,1,0,1,1,1,1,1,0,1,22,1,1,1,0,1,1,1,0,1,0,1,0,"3","0","November","1","0","3","3","0","57.8","1","3","3","2","3","1","medium_spend_cust"
"2581",25,17,0,0,25,4.9,0.55,-0.6,0.67,-0.39,1,2,1,9,1,6,1,1,0,0,0,0,0,0,1,3,1,1,1,27,1,0,0,0,0,0,0,1,0,0,9,4,0,0,0,1,1,3,0,7,0,6,11,12,511.92,1,23,1,10.95,2.39,227.3,1,16,2.77,322.6,5.78,0,0,0,0,0,1.91,0,4.7,0,0,2.64,0,5.62,1,0,0,0,0,0,0,0,1,35,1,1,1,0,1,1,1,1,1,0,0,1,"2","1","August","2","0","3","2","0","11.5","0","3","3","3","3","3","medium_spend_cust"
